Lat,Lon,Elat,Elon,Length,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.477272,9.229613,45.469530,9.188890,3.289818,2020,06,30,12,00,19,37,0,20,51,20,24,27,936,769
45.467704,9.206557,45.480901,9.149585,4.678158,2020,06,30,12,00,19,35,0,27,79,20,21,22,936,771
45.460564,9.159979,45.438289,9.163217,2.489593,2020,06,30,12,10,19,31,0,15,44,9,19,16,936,771
45.463488,9.165849,45.491027,9.209250,4.563557,2020,06,30,12,10,19,38,0,28,73,19,20,24,936,771
45.478657,9.194763,45.498685,9.182917,2.410758,2020,06,30,12,10,19,21,0,17,39,13,14,14,936,771
45.496800,9.218774,45.480590,9.200074,2.318047,2020,06,30,12,10,19,22,0,14,37,10,12,16,936,775
45.450134,9.146143,45.480191,9.187215,4.628990,2020,06,30,12,10,19,35,0,28,70,17,35,37,936,775
45.447849,9.214891,45.504653,9.229192,6.413676,2020,06,30,12,10,19,43,0,31,103,21,23,30,936,775
45.473966,9.180876,45.505501,9.171195,3.586646,2020,06,30,12,10,19,38,0,23,60,16,18,25,936,775
45.459233,9.177143,45.448026,9.229322,4.256347,2020,06,30,12,10,19,47,0,22,63,15,17,19,936,777
45.474892,9.179823,45.494498,9.177339,2.188566,2020,06,30,12,10,19,21,0,15,37,9,15,21,936,777
45.474411,9.172543,45.463882,9.224668,4.229768,2020,06,30,12,10,19,47,0,27,65,19,25,29,936,777
45.487612,9.217799,45.471469,9.169084,4.200716,2020,06,30,12,20,20,26,0,26,69,20,22,25,936,777
45.460431,9.152511,45.471185,9.173467,2.024919,2020,06,30,12,20,20,27,0,13,32,7,14,13,936,781
45.458704,9.166868,45.493122,9.193314,4.347050,2020,06,30,12,20,20,22,0,29,69,19,26,24,936,781
45.504043,9.210206,45.448242,9.222224,6.274844,2020,06,30,12,20,20,52,0,30,96,19,23,30,936,781
45.491932,9.224949,45.460795,9.166149,5.744842,2020,06,30,12,20,20,38,0,32,92,27,30,28,936,781
45.486516,9.212821,45.453150,9.215719,3.716827,2020,06,30,12,20,20,26,0,18,57,13,14,15,936,785
45.464537,9.201158,45.479178,9.160308,3.577088,2020,06,30,12,20,20,33,0,21,58,15,20,19,936,785
45.504983,9.158516,45.451759,9.191833,6.462916,2020,06,30,12,20,20,79,0,39,108,24,39,27,936,785
45.465671,9.216829,45.479561,9.167453,4.148157,2020,06,30,12,20,20,31,0,24,68,16,24,24,936,785
45.437812,9.150449,45.477034,9.195234,5.587430,2020,06,30,12,20,20,46,0,35,87,21,23,24,936,795
45.499981,9.193179,45.460599,9.188236,4.395792,2020,06,30,12,30,20,26,0,30,67,0,2,3,936,795
45.498573,9.200993,45.478338,9.197083,2.270471,2020,06,30,12,30,20,26,0,15,40,0,6,10,936,795
45.448496,9.162359,45.470396,9.170807,2.522612,2020,06,30,12,30,20,28,0,19,45,0,7,10,936,795
45.493592,9.186772,45.463756,9.196126,3.396663,2020,06,30,12,30,20,28,0,23,53,0,19,21,936,801
45.487092,9.207874,45.489130,9.159557,3.773133,2020,06,30,12,30,20,33,0,21,65,12,16,17,936,801
45.476896,9.218303,45.456262,9.197824,2.795355,2020,06,30,12,30,20,34,0,16,47,16,18,20,936,801
