Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Second,Public,Public2,Bike,Foot,Car,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.438310,9.201715,45.438282,9.149059,4.108178,2020,03,01,15,14,39,31,34,19,61,11,16,12,0,0
45.471001,9.228628,45.486237,9.183723,3.889286,2020,03,01,15,14,39,146,143,22,57,11,14,16,0,0
45.442518,9.190754,45.463825,9.172018,2.783586,2020,03,01,15,14,39,107,107,17,45,11,14,14,0,0
45.460653,9.176578,45.437894,9.196374,2.964490,2020,03,01,15,14,39,43,41,18,48,12,15,29,0,0
45.456602,9.187597,45.494376,9.164718,4.563185,2020,03,01,15,14,39,43,43,28,70,16,19,25,0,0
45.485988,9.158954,45.464165,9.156198,2.435986,2020,03,01,15,14,39,15,15,14,38,8,10,15,0,0
45.475853,9.155217,45.445304,9.181483,3.966597,2020,03,01,15,14,39,35,37,23,65,15,22,23,0,0
45.473702,9.168592,45.477623,9.209237,3.198837,2020,03,01,15,14,39,16,17,21,52,15,18,18,0,0
45.450710,9.189359,45.491401,9.196311,4.556773,2020,03,01,15,14,39,39,35,30,73,16,25,36,0,0
45.476816,9.215454,45.478689,9.154753,4.737109,2020,03,01,15,14,39,28,36,29,78,17,19,24,0,0
45.443022,9.153437,45.446301,9.201381,3.757857,2020,03,01,15,14,39,28,30,17,57,8,24,12,0,0
45.459015,9.219439,45.477799,9.150151,5.792546,2020,03,01,15,14,39,44,40,33,90,23,28,27,0,0
45.479911,9.175987,45.452838,9.175646,3.010353,2020,03,01,15,14,39,28,33,19,53,12,15,23,0,0
45.487649,9.162311,45.441012,9.152693,5.239511,2020,03,01,15,14,39,45,53,29,82,16,19,26,0,0
45.497363,9.218200,45.471468,9.199469,3.228349,2020,03,01,15,14,39,19,37,19,46,12,12,20,0,0
45.478423,9.168316,45.501716,9.177284,2.682616,2020,03,01,15,14,39,31,32,19,50,10,19,21,0,0
45.481639,9.226606,45.494390,9.206997,2.084825,2020,03,01,15,14,39,34,27,13,36,8,11,18,0,0
45.461603,9.163371,45.482273,9.217532,4.807962,2020,03,01,15,14,39,41,33,29,76,20,25,25,0,0
45.459359,9.202347,45.473359,9.152251,4.205228,2020,03,01,15,14,39,38,38,25,67,17,21,24,0,0
45.440559,9.182926,45.488061,9.222951,6.135064,2020,03,01,15,24,39,44,52,32,97,18,23,24,0,0
45.442214,9.208495,45.448734,9.155949,4.162687,2020,03,01,15,24,39,15,15,23,72,14,20,15,0,0
45.504071,9.203337,45.483974,9.224799,2.791338,2020,03,01,15,24,39,34,34,19,53,15,21,19,0,0
45.448496,9.178916,45.462748,9.155469,2.419820,2020,03,01,15,24,39,122,122,15,39,10,13,28,0,0
45.445839,9.150641,45.458837,9.200574,4.154262,2020,03,01,15,24,39,28,51,27,63,14,24,27,0,0
